id_pago,id_sub
1,1
2,1
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,4
26,4
27,4
28,4
29,4
30,5
31,5
32,5
33,6
34,6
35,6
36,6
37,6
38,6
39,7
40,7
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7
51,7
52,7
53,7
54,7
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,8
74,8
75,9
76,9
77,9
78,9
79,9
80,9
81,9
82,9
83,9
84,9
85,9
86,9
87,9
88,9
89,9
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,11
108,11
109,11
110,11
111,11
112,11
113,11
114,11
115,11
116,11
117,11
118,11
119,11
120,11
121,11
122,11
123,11
124,11
125,11
126,11
127,12
128,12
129,12
130,12
131,12
132,12
133,12
134,12
135,12
136,12
137,12
138,12
139,12
140,12
141,12
142,13
143,13
144,13
145,13
146,13
147,13
148,13
149,13
150,13
151,13
152,14
153,14
154,14
155,14
156,15
157,15
158,15
159,15
160,15
161,15
162,15
163,15
164,15
165,16
166,16
167,16
168,17
169,17
170,17
171,17
172,17
173,17
174,17
175,17
176,17
177,18
178,18
179,18
180,18
181,18
182,18
183,18
184,18
185,18
186,18
187,18
188,18
189,18
190,19
191,19
192,19
193,19
194,19
195,19
196,19
197,19
198,19
199,19
200,19
201,19
202,20
203,20
204,20
205,20
206,20
207,20
208,20
209,20
210,20
211,20
212,20
213,20
214,20
215,20
216,20
217,20
218,20
219,20
220,21
221,21
222,21
223,21
224,21
225,21
226,21
227,22
228,22
229,22
230,22
231,22
232,22
233,22
234,22
235,22
236,22
237,22
238,22
239,22
240,22
241,22
242,22
243,23
244,23
245,23
246,23
247,23
248,23
249,23
250,23
251,24
252,24
253,24
254,24
255,24
256,24
257,24
258,24
259,24
260,24
261,24
262,25
263,25
264,25
265,25
266,25
267,25
268,25
269,25
270,25
271,25
272,26
273,26
274,26
275,26
276,26
277,26
278,26
279,26
280,26
281,26
282,26
283,27
284,28
285,28
286,28
287,28
288,28
289,28
290,28
291,28
292,28
293,28
294,28
295,28
296,28
297,29
298,29
299,29
300,29
301,29
302,29
303,29
304,29
305,29
306,29
307,29
308,29
309,29
310,29
311,29
312,29
313,29
314,29
315,29
316,29
317,30
318,30
319,30
320,30
321,30
322,30
323,30
324,30
325,30
326,30
327,30
328,31
329,31
330,31
331,31
332,31
333,31
334,31
335,31
336,31
337,31
338,31
339,31
340,31
341,31
342,32
343,32
344,33
345,33
346,33
347,33
348,33
349,33
350,34
351,34
352,34
353,34
354,34
355,34
356,34
357,34
358,34
359,35
360,35
361,35
362,36
363,36
364,36
365,36
366,36
367,36
368,36
369,36
370,36
371,36
372,36
373,36
374,37
375,37
376,37
377,38
378,38
379,38
380,38
381,38
382,39
383,39
384,39
385,39
386,39
387,39
388,39
389,39
390,39
391,39
392,39
393,39
394,39
395,39
396,39
397,39
398,39
399,39
400,39
401,40
402,40
403,40
404,40
405,40
406,40
407,40
408,40
409,40
410,40
411,40
412,40
413,40
414,40
415,40
416,41
417,41
418,41
419,41
420,41
421,41
422,41
423,41
424,41
425,41
426,41
427,42
428,42
429,42
430,42
431,42
432,43
433,43
434,44
435,45
436,45
437,45
438,45
439,45
440,45
441,45
442,45
443,45
444,45
445,45
446,46
447,46
448,46
449,46
450,46
451,46
452,46
453,46
454,46
455,46
456,46
457,46
458,47
459,47
460,47
461,47
462,47
463,47
464,47
465,47
466,47
467,47
468,47
469,47
470,47
471,47
472,47
473,47
474,47
475,48
476,48
477,48
478,48
479,48
480,48
481,48
482,48
483,48
484,48
485,48
486,48
487,49
488,49
489,49
490,49
491,49
492,49
493,49
494,49
495,49
496,49
497,49
498,49
499,49
500,49
501,49
502,50
503,50
504,50
505,50
506,50
507,50
508,50
509,50
510,50
511,50
512,50
513,50
514,50
515,50
516,51
517,51
518,51
519,51
520,51
521,51
522,51
523,51
524,51
525,51
526,51
527,51
528,51
529,51
530,51
531,51
532,51
533,51
534,51
535,51
536,52
537,52
538,53
539,53
540,53
541,53
542,53
543,53
544,53
545,53
546,53
547,53
548,53
549,54
550,54
551,54
552,54
553,54
554,54
555,54
556,54
557,54
558,54
559,54
560,54
561,54
562,54
563,54
564,54
565,54
566,54
567,54
568,54
569,55
570,56
571,56
572,56
573,57
574,57
575,57
576,57
577,58
578,58
579,58
580,58
581,58
582,58
583,58
584,58
585,58
586,58
587,58
588,58
589,59
590,60
591,60
592,60
593,60
594,60
595,60
596,60
597,60
598,60
599,60
600,60
