id_pago,id_sub
6368,1
6369,1
6370,1
6371,1
6372,2
6373,2
6374,2
6375,2
6376,2
6377,2
6378,2
6379,2
6380,2
6381,2
6382,2
6383,2
6384,2
6385,2
6386,2
6387,2
6388,3
6389,3
6390,3
6391,3
6392,3
6393,3
6394,3
6395,3
6396,3
6397,3
6398,3
6399,3
6400,3
6401,3
6402,3
6403,3
6404,4
6405,4
6406,4
6407,4
6408,4
6409,4
6410,4
6411,4
6412,4
6413,5
6414,5
6415,5
6416,5
6417,5
6418,5
6419,5
6420,5
6421,5
6422,5
6423,5
6424,5
6425,5
6426,5
6427,6
6428,6
6429,6
6430,6
6431,6
6432,6
6433,6
6434,6
6435,6
6436,6
6437,6
6438,6
6439,6
6440,6
6441,6
6442,7
6443,7
6444,7
6445,7
6446,7
6447,7
6448,7
6449,7
6450,7
6451,7
6452,7
6453,7
6454,7
6455,7
6456,8
6457,8
6458,8
6459,8
6460,8
6461,8
6462,8
6463,8
6464,8
6465,8
6466,8
6467,8
6468,9
6469,9
6470,9
6471,9
6472,10
6473,10
6474,10
6475,10
6476,10
6477,10
6478,10
6479,10
6480,10
6481,10
6482,10
6483,10
6484,11
6485,11
6486,11
6487,11
6488,11
6489,11
6490,11
6491,11
6492,11
6493,11
6494,11
6495,11
6496,11
6497,11
6498,11
6499,12
6500,12
6501,12
6502,12
6503,12
6504,12
6505,12
6506,13
6507,13
6508,13
6509,13
6510,13
6511,13
6512,13
6513,13
6514,13
6515,13
6516,13
6517,13
6518,14
6519,14
6520,14
6521,14
6522,14
6523,14
6524,14
6525,14
6526,15
6527,15
6528,15
6529,15
6530,15
6531,15
6532,15
6533,15
6534,15
6535,16
6536,16
6537,17
6538,17
6539,17
6540,17
6541,17
6542,17
6543,17
6544,17
6545,17
6546,17
6547,17
6548,17
6549,17
6550,17
6551,17
6552,17
6553,18
6554,18
6555,18
6556,18
6557,19
6558,19
6559,19
6560,20
6561,20
6562,20
6563,20
6564,20
6565,20
6566,20
6567,20
6568,20
6569,20
6570,20
6571,21
6572,21
6573,21
6574,21
6575,21
6576,21
6577,21
6578,21
6579,22
6580,22
6581,22
6582,22
6583,22
6584,22
6585,22
6586,23
6587,23
6588,23
6589,23
6590,23
6591,23
6592,23
6593,23
6594,23
6595,23
6596,23
6597,23
6598,23
6599,23
6600,23
6601,23
6602,24
6603,24
6604,24
6605,24
6606,24
6607,24
6608,24
6609,25
6610,25
6611,25
6612,25
6613,25
6614,25
6615,25
6616,25
6617,25
6618,25
6619,25
6620,25
6621,25
6622,26
6623,26
6624,26
6625,26
6626,26
6627,26
6628,26
6629,26
6630,26
6631,26
6632,26
6633,26
6634,26
6635,26
6636,26
6637,26
6638,26
6639,26
6640,26
6641,26
6642,27
6643,27
6644,28
6645,28
6646,28
6647,28
6648,28
6649,28
6650,28
6651,28
6652,28
6653,28
6654,28
6655,28
6656,28
6657,28
6658,28
6659,28
6660,28
6661,28
6662,28
6663,28
6664,29
6665,29
6666,29
6667,29
6668,29
6669,29
6670,29
6671,29
6672,29
6673,30
6674,31
6675,31
6676,31
6677,31
6678,32
6679,32
6680,32
6681,32
6682,32
6683,32
6684,32
6685,32
6686,32
6687,33
6688,33
6689,33
6690,33
6691,33
6692,33
6693,33
6694,33
6695,33
6696,33
6697,33
6698,34
6699,34
6700,34
6701,34
6702,34
6703,34
6704,34
6705,34
6706,34
6707,34
6708,34
6709,34
6710,34
6711,34
6712,34
6713,35
6714,35
6715,35
6716,35
6717,35
6718,35
6719,35
6720,35
6721,35
6722,35
6723,36
6724,36
6725,36
6726,36
6727,36
6728,36
6729,36
6730,36
6731,36
6732,36
6733,36
6734,36
6735,36
6736,36
6737,36
6738,36
6739,37
6740,37
6741,37
6742,37
6743,37
6744,37
6745,37
6746,37
6747,37
6748,37
6749,37
6750,38
6751,38
6752,38
6753,38
6754,38
6755,38
6756,38
6757,38
6758,38
6759,38
6760,39
6761,39
6762,39
6763,39
6764,39
6765,39
6766,39
6767,39
6768,39
6769,40
6770,40
6771,40
6772,40
6773,40
6774,40
6775,41
6776,41
6777,41
6778,41
6779,41
6780,41
6781,41
6782,41
6783,41
6784,41
6785,41
6786,41
6787,41
6788,41
6789,42
6790,42
6791,42
6792,42
6793,42
6794,42
6795,42
6796,42
6797,42
6798,42
6799,42
6800,42
6801,42
6802,42
6803,42
6804,42
6805,42
6806,42
6807,42
6808,42
6809,43
6810,43
6811,43
6812,43
6813,43
6814,43
6815,43
6816,43
6817,43
6818,43
6819,43
6820,44
6821,44
6822,44
6823,44
6824,44
6825,44
6826,44
6827,44
6828,44
6829,44
6830,44
6831,44
6832,45
6833,45
6834,45
6835,45
6836,46
6837,46
6838,46
6839,46
6840,46
6841,46
6842,46
6843,46
6844,46
6845,46
6846,46
6847,46
6848,46
6849,46
6850,46
6851,46
6852,46
6853,46
6854,46
6855,47
6856,47
6857,47
6858,47
6859,47
6860,47
6861,47
6862,47
6863,47
6864,47
6865,48
6866,48
6867,48
6868,48
6869,48
6870,48
6871,49
6872,49
6873,49
6874,49
6875,49
6876,50
6877,50
6878,50
6879,50
6880,50
6881,50
6882,50
6883,50
6884,50
6885,51
6886,51
6887,51
6888,51
6889,51
6890,51
6891,51
6892,51
6893,51
6894,51
6895,51
6896,51
6897,51
6898,51
6899,51
6900,51
6901,51
6902,52
6903,52
6904,52
6905,52
6906,52
6907,52
6908,52
6909,52
6910,53
6911,53
6912,53
6913,53
6914,53
6915,53
6916,53
6917,53
6918,53
6919,53
6920,53
